name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
Stephen Curry,Golden State Warriors,2/8/2018,2017,3975,1610612744,400975561,1,8,1,1,Jump Shot,2PT Field Goal,17,Dallas Mavericks,-69,156,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,2,0,28,1,Jump Shot,3PT Field Goal,22,San Antonio Spurs,-226,-2,0,0,,0,0
Kevin Durant,Golden State Warriors,11/2/2017,2017,3202,1610612744,400974868,2,3,38,1,Jump Shot,3PT Field Goal,23,San Antonio Spurs,-222,77,0,0,,0,0
Stephen Curry,Golden State Warriors,11/18/2017,2017,3975,1610612744,400974982,1,5,48,1,Jump Shot,2PT Field Goal,18,Philadelphia 76ers,-55,173,0,0,,0,0
Andre Iguodala,Golden State Warriors,1/23/2018,2017,2386,1610612744,400975445,2,9,46,1,Jump Shot,2PT Field Goal,18,New York Knicks,76,172,0,0,,0,0
Klay Thompson,Golden State Warriors,4/3/2018,2017,6475,1610612744,400975909,1,9,42,0,Jump Shot,3PT Field Goal,22,Oklahoma City Thunder,228,12,0,0,,0,0
Stephen Curry,Golden State Warriors,11/18/2017,2017,3975,1610612744,400974982,3,7,56,1,Jump Shot,2PT Field Goal,20,Philadelphia 76ers,72,193,0,0,,0,0
Nick Young,Golden State Warriors,4/3/2018,2017,3243,1610612744,400975909,3,1,40,0,Jump Shot,2PT Field Goal,17,Oklahoma City Thunder,-44,173,0,0,,0,0
Klay Thompson,Golden State Warriors,4/3/2018,2017,6475,1610612744,400975909,3,7,41,0,Jump Shot,2PT Field Goal,13,Oklahoma City Thunder,11,132,0,0,,0,0
Shaun Livingston,Golden State Warriors,10/17/2017,2017,2393,1610612744,400974438,2,0,11,0,Jump Shot,2PT Field Goal,11,Houston Rockets,114,23,0,0,,0,0
Klay Thompson,Golden State Warriors,11/18/2017,2017,6475,1610612744,400974982,1,6,31,1,Jump Shot,3PT Field Goal,25,Philadelphia 76ers,136,220,0,0,,0,0
Nick Young,Golden State Warriors,2/8/2018,2017,3243,1610612744,400975561,4,1,46,1,Jump Shot,3PT Field Goal,25,Dallas Mavericks,-169,195,0,0,,0,0
David West,Golden State Warriors,11/2/2017,2017,2177,1610612744,400974868,2,11,45,1,Jump Shot,2PT Field Goal,16,San Antonio Spurs,2,167,0,0,,0,0
Stephen Curry,Golden State Warriors,11/18/2017,2017,3975,1610612744,400974982,1,3,26,0,Jump Shot,2PT Field Goal,21,Philadelphia 76ers,-163,145,0,0,,0,0
Nick Young,Golden State Warriors,10/17/2017,2017,3243,1610612744,400974438,1,2,55,1,Jump Shot,3PT Field Goal,22,Houston Rockets,226,21,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,1,6,44,1,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-113,226,0,0,,0,0
Draymond Green,Golden State Warriors,11/2/2017,2017,6589,1610612744,400974868,3,11,16,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-11,253,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,1,10,5,1,Jump Shot,2PT Field Goal,21,Houston Rockets,-142,163,0,0,,0,0
Kevin Durant,Golden State Warriors,11/2/2017,2017,3202,1610612744,400974868,1,9,43,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,219,136,0,0,,0,0
Andre Iguodala,Golden State Warriors,10/27/2017,2017,2386,1610612744,400974826,1,0,0,0,Jump Shot,3PT Field Goal,62,Washington Wizards,-61,625,0,0,,0,0
Andre Iguodala,Golden State Warriors,11/2/2017,2017,2386,1610612744,400974868,4,9,19,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-145,207,0,0,,0,0
